x y z
0.32 -0.15 0.83
-0.11 -0.03 1.07
0.24 -0.10 0.96
0.49 -0.28 1.00
0.29 0.02 1.02
0.29 0.04 0.81
0.37 0.34 0.89
0.54 0.60 0.84
0.62 0.49 0.69
0.46 0.55 0.78
0.44 0.64 0.70
0.53 1.23 0.22
0.31 0.68 0.80
0.19 0.49 0.76
0.40 0.47 0.64
0.31 0.85 0.74
0.18 0.52 0.95
0.25 0.42 0.86
0.10 0.28 1.12
0.00 -0.07 1.04
-0.00 0.01 1.05
-0.04 0.08 1.01
0.04 0.15 0.89
-0.12 0.20 1.06
0.00 0.15 1.01
0.03 0.20 0.92
0.01 0.20 1.06
0.03 0.22 0.96
-0.09 0.10 1.00
-0.05 0.18 1.05
-0.00 0.09 1.02
0.04 0.08 0.98
0.09 0.18 0.96
-0.05 0.09 1.20
0.20 0.17 0.98
0.12 0.14 0.96
0.02 0.06 1.06
-0.03 -0.03 1.00
0.07 -0.01 0.98
0.21 0.14 1.04
0.20 0.09 1.03
0.19 0.07 1.02
0.19 0.13 1.00
0.17 0.15 1.00
0.18 0.05 0.98
0.24 0.21 1.12
0.14 0.02 0.95
0.28 0.03 0.97
0.24 0.07 1.04
0.24 0.00 0.94
0.21 -0.00 0.99
0.20 -0.01 1.01
0.16 0.09 1.02
0.22 0.08 1.06
0.25 0.08 1.00
0.23 0.06 1.00
0.26 0.05 1.02
0.27 0.08 0.99
0.24 0.01 0.98
0.30 0.19 1.13
0.39 0.04 1.14
0.21 0.16 1.02
0.22 0.27 0.98
0.12 0.31 0.93
0.02 0.18 1.11
0.13 0.37 1.03
0.03 0.12 1.09
0.05 0.03 1.09
0.13 0.06 0.88
0.16 -0.00 1.08
-0.09 0.03 1.12
-0.09 -0.06 0.73
-0.09 -0.08 1.08
0.08 -0.21 1.22
0.09 -0.21 0.99
0.09 -0.17 1.11
-0.05 -0.15 1.11
-0.07 -0.23 0.95
0.07 -0.27 0.65
-0.20 -0.30 1.03
-0.10 -0.23 0.93
0.25 -0.38 0.85
0.62 -0.27 1.01
0.29 -0.02 0.95
0.31 0.15 0.92
0.16 -0.03 1.01
0.10 -0.07 1.03
0.53 0.15 0.83
0.23 0.07 1.00
0.31 0.16 1.15
0.29 0.26 1.04
0.22 0.17 0.96
0.16 -0.14 0.93
0.42 0.55 1.13
0.20 -0.01 1.15
0.42 0.45 1.11
0.29 0.73 1.08
0.46 0.38 0.73
0.27 0.27 0.79
0.58 0.44 1.08
0.15 0.43 0.88
0.08 -0.09 1.00
0.37 0.56 0.84
0.12 0.06 1.14
0.19 0.10 1.04
0.21 0.10 1.06
0.22 0.20 1.00
0.24 0.33 0.41
-0.11 0.05 1.02
0.28 0.01 1.14
0.11 -0.19 1.06
-0.19 -0.36 0.76
-0.21 -0.62 0.71
-0.05 -0.20 0.83
-0.03 -0.27 1.27
0.08 0.06 0.98
0.20 -0.20 0.93
0.05 -0.03 0.93
0.08 -0.06 0.94
0.16 0.03 1.03
0.00 -0.01 1.19
0.17 0.05 1.08
0.08 -0.00 0.99
0.02 0.09 1.00
0.08 -0.06 1.05
0.02 0.07 1.15
0.01 0.03 1.02
0.04 0.11 0.99
0.06 0.10 1.08
-0.05 -0.05 1.03
0.01 0.03 1.06
0.03 0.01 1.00
-0.03 0.02 0.96
0.12 0.20 1.08
-0.09 0.34 1.03
0.00 0.47 0.97
0.31 0.04 0.96
0.28 -0.41 1.08
0.17 0.37 1.01
0.23 -0.44 0.97
0.12 -0.01 0.98
0.53 0.14 0.84
0.38 0.04 0.86
0.52 0.07 1.09
0.38 -0.33 0.80
0.42 -0.05 0.89
0.42 -0.20 1.00
0.37 -0.15 0.63
0.50 0.09 0.99
0.51 -0.09 0.94
0.67 0.02 0.82
0.54 0.10 1.02
0.52 0.19 0.77
0.49 0.21 0.88
0.47 0.00 0.94
0.52 0.10 0.81
0.49 0.32 0.78
0.55 0.08 0.74
0.56 0.04 0.86
0.62 0.02 0.76
0.63 0.09 0.84
0.48 0.16 0.76
0.73 0.08 0.75
0.50 0.12 0.75
0.65 0.21 0.87
0.53 0.07 0.77
0.72 0.16 0.73
0.88 0.09 0.47
0.71 0.04 0.52
0.88 -0.00 0.52
0.50 0.18 0.72
0.80 0.05 0.30
0.91 0.03 0.45
0.98 0.14 0.37
1.12 0.09 0.58
0.86 0.05 0.45
0.89 0.04 0.51
0.84 0.05 0.40
0.85 0.06 0.47
0.93 0.05 0.49
1.02 0.01 0.42
0.87 0.03 0.39
1.00 0.03 0.43
0.85 0.02 0.53
0.82 -0.04 0.83
0.86 -0.02 0.44
0.87 0.01 0.44
0.74 -0.08 0.44
0.58 0.07 0.73
0.80 -0.12 0.54
0.85 -0.14 0.48
0.89 -0.17 0.40
0.87 -0.15 0.44
0.92 -0.17 0.46
0.76 -0.07 0.19
0.67 -0.14 0.31
0.49 0.10 0.22
0.89 0.04 0.41
0.78 -0.03 0.41
0.75 -0.09 0.40
1.05 -0.01 0.48
0.76 -0.01 0.65
0.83 -0.17 0.90
0.73 0.15 0.63
0.59 -0.05 0.65
0.54 0.17 0.86
0.49 0.23 0.79
0.42 0.20 0.97
0.33 0.03 0.99
0.29 0.00 0.93
0.25 0.06 1.08
0.23 -0.02 0.88
0.33 -0.07 0.96
0.36 -0.17 0.67
0.58 0.00 1.05
0.58 0.10 1.07
0.53 0.02 0.89
0.53 -0.02 0.59
0.59 -0.01 0.68
0.63 -0.11 0.89
0.95 0.09 0.33
0.11 -0.29 0.16
0.58 -0.38 0.03
0.61 -0.41 0.16
0.92 -0.18 -0.11
1.08 -0.14 -0.11
0.99 -0.25 -0.00
0.88 -0.23 0.11
0.95 -0.18 0.18
0.99 -0.33 0.25
0.96 -0.22 0.37
0.92 -0.19 0.28
0.98 -0.16 0.33
0.82 -0.18 0.27
0.97 -0.20 0.25
0.94 -0.18 0.27
0.93 -0.25 0.44
0.83 -0.18 0.42
0.88 -0.25 0.35
0.86 -0.18 0.34
1.06 -0.22 0.44
1.05 -0.24 0.32
0.96 -0.22 0.33
0.78 -0.25 0.46
0.83 -0.29 0.38
0.98 -0.24 0.47
1.09 -0.28 0.35
0.96 -0.12 0.50
0.85 -0.12 0.77
0.83 -0.19 0.38
0.80 -0.15 0.54
0.67 -0.21 0.49
0.81 -0.24 0.54
0.69 -0.16 0.57
0.76 -0.14 0.53
0.84 -0.25 0.48
0.86 -0.25 0.42
0.88 -0.30 0.48
0.82 -0.19 0.36
0.91 -0.22 0.46
0.96 -0.17 0.43
0.90 -0.18 0.41
0.93 -0.24 0.48
0.94 -0.11 0.44
0.97 -0.08 0.58
0.81 -0.12 0.36
0.93 -0.21 0.57
0.82 -0.20 0.52
0.93 -0.45 0.29
0.84 -0.21 0.42
0.87 -0.17 0.30
1.05 -0.46 0.76
1.30 -0.21 0.45
0.97 -0.42 0.14
1.29 -0.13 0.01
1.08 -0.18 0.14
0.79 -0.17 0.14
0.87 -0.63 0.13
0.76 -0.12 0.15
0.82 -0.12 0.05
1.02 -0.37 0.08
1.05 -0.08 0.02
0.96 -0.19 0.13
1.03 -0.34 0.16
1.08 -0.06 0.06
1.03 -0.34 0.02
1.05 -0.05 0.01
0.90 0.06 0.86
0.81 -0.23 0.56
0.47 -0.07 0.93
0.32 -0.21 0.95
0.12 -0.14 0.84
0.22 -0.05 0.86
0.17 -0.14 0.83
0.30 -0.08 0.96
0.32 -0.10 0.98
0.24 -0.05 1.00
0.28 0.01 0.98
0.26 -0.09 0.90
0.20 -0.06 1.00
0.34 0.14 1.07
0.24 0.04 0.93
0.25 -0.01 1.01
0.31 0.02 1.06
0.23 0.13 1.04
0.12 0.13 0.91
0.19 0.07 0.89
0.34 0.07 1.07
0.25 0.06 1.04
0.19 0.10 0.92
0.06 0.20 1.00
0.27 0.09 0.99
0.19 0.06 1.07
0.11 0.12 1.05
0.14 0.12 0.89
0.08 0.19 1.21
0.01 -0.02 1.05
0.01 -0.24 0.98
0.04 -0.19 1.05
0.12 -0.01 1.03
0.23 0.16 1.11
0.23 0.11 0.77
0.04 0.28 1.20
0.36 0.13 1.07
0.23 0.03 0.70
0.28 0.09 1.13
0.26 0.12 0.93
0.34 0.10 1.24
0.15 -0.09 0.94
0.20 0.17 1.03
0.29 0.25 0.93
-0.09 0.34 0.95
0.15 0.25 1.02
0.16 0.16 0.96
0.10 0.18 0.95
-0.07 0.36 0.89
0.23 0.10 0.98
0.06 0.24 1.02
0.11 0.10 1.33
-0.03 -0.08 0.93
-0.00 -0.14 0.95
-0.01 0.03 1.12
0.04 0.19 1.00
-0.05 0.25 1.34
0.13 0.23 1.05
0.21 -0.06 0.75
-0.03 -0.16 1.10
-0.31 0.12 1.62
-0.17 0.04 0.90
-0.22 0.18 0.93
-0.14 0.24 0.93
0.14 -0.06 1.33
0.16 0.19 0.95
0.10 0.04 1.13
0.26 -0.35 0.89
0.44 -0.02 1.49
0.36 0.33 0.86
0.33 0.32 0.63
0.69 0.40 0.89
0.21 0.32 0.86
0.20 0.10 0.88
0.36 0.03 0.90
0.40 0.04 1.08
0.35 0.05 0.95
0.35 0.09 0.96
0.29 0.11 0.99
0.25 0.07 0.94
0.29 0.06 0.90
0.22 0.04 1.06
0.18 0.22 0.88
0.19 0.28 1.11
0.23 0.09 1.03
0.25 0.14 0.96
0.21 0.05 1.13
0.26 0.10 0.92
0.24 0.13 0.99
0.19 -0.01 1.10
0.25 -0.05 0.93
0.28 -0.03 1.04
0.25 -0.07 0.97
0.31 -0.13 0.97
0.42 -0.13 0.94
0.42 -0.15 0.93
0.38 -0.11 0.86
0.46 0.02 0.83
0.07 0.01 1.31
-0.03 0.18 0.99
0.19 0.19 1.27
0.45 0.34 0.97
0.47 0.23 0.85
0.57 -0.05 0.95
0.87 0.02 0.90
0.34 0.47 0.87
-0.22 0.52 1.22
0.63 -0.34 1.35
0.23 0.02 0.62
-0.11 0.43 0.38
0.47 -0.05 0.98
0.71 -0.11 1.25
0.35 0.16 1.01
0.32 0.11 0.99
0.35 -0.00 0.92
0.37 -0.03 0.77
0.36 -0.08 0.51
-0.11 -0.30 1.07
-0.22 -0.57 1.04
-0.44 -0.68 0.85
-0.22 0.07 0.57
0.00 -0.25 0.61
0.08 -0.08 0.81
0.03 0.06 1.03
0.03 0.05 1.02
0.03 0.05 1.02
0.03 0.04 1.02
0.03 0.05 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.04 1.02
0.03 0.03 1.02
0.03 0.04 1.02
0.03 0.03 1.02
0.03 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.03 0.03 1.02
0.03 0.03 1.02
0.02 0.03 1.02
0.03 0.03 1.02
0.03 0.03 1.02
0.03 0.03 1.02
0.03 0.03 1.02
0.03 0.03 1.02
0.03 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.03 0.03 1.02
0.03 0.03 1.02
0.02 0.03 1.02
0.03 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.03 0.03 1.02
0.03 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.03 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.03 0.02 1.02
0.03 0.02 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.03 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.03 0.02 1.02
0.02 0.03 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.03
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.03 0.01 1.03
0.02 0.03 1.02
0.03 0.02 1.02
0.03 0.02 1.02
0.03 0.02 1.03
0.03 0.03 1.02
0.03 0.01 1.03
0.03 0.02 1.03
0.01 0.01 1.02
0.01 0.02 1.02
0.02 0.02 1.02
0.03 0.02 1.02
0.03 0.02 1.02
0.03 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.03 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.03 1.02
0.02 0.01 1.02
0.02 0.03 1.02
0.03 0.01 1.02
0.02 0.02 1.03
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.01 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.03 0.01 1.02
0.03 0.01 1.02
0.02 0.01 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.02 0.01 1.02
0.02 0.01 1.02
0.02 0.02 1.02
0.03 0.01 1.02
0.03 0.01 1.02
0.02 0.02 1.02
0.02 -0.00 1.03
0.02 0.03 1.02
0.03 0.00 1.02
0.02 0.02 1.02
0.03 0.00 1.03
0.03 0.02 1.02
0.02 0.01 1.02
0.25 0.23 1.24
0.02 -0.07 1.02
-0.22 -0.00 1.09
-0.08 -0.61 0.64
-0.23 -0.93 0.68
0.15 -0.85 0.36
0.22 -0.86 0.26
0.28 -0.80 0.27
0.30 -0.86 0.33
0.30 -0.87 0.33
0.32 -0.84 0.27
0.37 -0.97 0.44
0.48 -0.86 0.49
0.29 -0.64 0.83
0.13 -0.56 0.86
0.27 -0.51 0.87
0.26 -0.45 0.91
0.25 -0.34 0.89
0.30 -0.28 0.91
0.31 -0.23 0.93
0.30 -0.20 0.94
0.31 -0.14 0.97
0.30 -0.09 0.97
0.29 -0.01 0.97
0.27 0.02 0.99
0.25 0.05 0.99
0.22 0.01 1.02
0.16 -0.16 1.04
0.14 -0.24 1.01
0.20 -0.35 0.97
0.30 -0.46 0.85
0.42 -0.51 0.76
0.46 -0.51 0.71
0.49 -0.58 0.67
0.53 -0.55 0.68
0.56 -0.51 0.69
0.60 -0.50 0.64
0.66 -0.48 0.61
0.65 -0.49 0.56
0.74 -0.45 0.55
0.74 -0.47 0.57
0.60 -0.49 0.62
0.56 -0.53 0.63
0.58 -0.52 0.69
0.57 -0.53 0.64
0.57 -0.53 0.63
0.50 -0.54 0.69
0.50 -0.57 0.66
0.51 -0.61 0.61
0.33 -0.62 0.64
0.12 -0.01 1.10
0.20 0.26 1.13
0.24 0.31 1.03
0.26 0.25 0.95
0.04 0.22 0.93
-0.21 0.30 0.98
-0.12 0.33 0.92
0.07 0.31 0.92
0.11 0.16 1.56
0.21 -0.07 1.25
-0.16 -0.12 1.13
-0.66 0.37 0.75
-0.40 -0.20 0.96
-0.29 -0.47 0.95
-0.29 -0.45 0.85
-0.44 -0.47 0.57
-0.40 -0.40 0.72
-0.06 -1.00 0.63
-0.40 -0.55 0.71
-0.33 -0.40 0.99
-0.47 -0.47 0.82
-0.54 -0.50 0.76
-0.52 -0.43 0.54
-0.41 -0.53 0.68
-0.56 -0.41 0.75
-0.72 -0.71 0.71
-0.26 -0.40 0.82
-0.31 -0.61 0.68
-0.39 -0.47 1.09
-0.15 -0.51 0.91
-0.25 -0.67 0.67
-0.41 -0.68 0.87
-0.32 -0.21 0.76
-0.21 -0.36 1.07
-0.17 -0.54 1.08
-0.68 -0.01 0.80
-0.45 -0.01 1.09
-0.33 -0.26 0.92
-0.16 -0.22 1.09
-0.31 -0.33 0.72
-0.30 -0.59 0.88
-0.15 -0.34 0.87
-0.23 -0.59 0.95
-0.26 -1.05 0.87
0.06 -0.31 0.75
0.11 -0.38 1.07
-0.19 -0.67 0.89
0.19 -0.34 0.96
0.42 -0.37 0.73
0.53 -0.19 0.75
0.64 -0.82 0.80
0.47 -0.23 0.70
0.62 -0.21 1.02
0.62 -0.31 0.49
0.52 -0.61 0.89
0.57 -0.23 0.41
0.57 -0.31 0.97
0.43 -0.55 0.73
0.56 -0.43 0.77
0.34 -0.55 0.70
0.46 -0.27 0.96
0.43 -0.50 0.64
0.40 -0.27 0.87
0.51 -0.44 0.94
0.46 -0.29 0.77
0.31 -0.57 0.77
0.79 -0.37 0.64
0.59 -0.04 0.77
0.53 -0.30 0.80
0.65 -0.41 1.26
0.37 -0.29 0.43
0.32 -0.20 0.94
0.33 -0.13 1.05
0.26 -0.30 1.00
0.30 -0.28 0.98
0.34 -0.05 0.80
0.19 -0.76 0.90
0.10 -0.27 0.92
0.15 -0.38 0.93
0.19 0.11 0.98
-0.00 -0.18 1.18
0.19 -0.10 1.17
0.11 -0.15 0.89
0.18 -0.18 1.05
0.20 0.01 1.02
0.13 -0.05 1.00
0.11 0.12 0.96
0.25 0.05 1.10
0.10 -0.16 1.13
0.10 -0.49 0.55
0.15 -0.66 0.91
0.30 -0.10 1.22
-0.05 -0.14 0.98
0.05 -0.51 0.48
0.32 -0.37 0.68
0.17 -0.86 1.08
-0.08 -0.79 0.88
-0.06 -0.85 0.73
-0.06 -0.75 0.66
-0.08 -0.75 0.65
-0.17 -0.53 0.83
-0.11 -0.41 0.64
-0.22 -0.64 0.68
-0.21 -0.63 0.75
-0.24 -0.65 0.78
-0.26 -0.54 0.80
-0.20 -0.65 0.74
-0.19 -0.66 0.67
-0.19 -0.79 0.62
-0.22 -0.69 0.69
-0.18 -0.66 0.73
-0.23 -0.64 0.73
-0.19 -0.68 0.72
-0.12 -0.75 0.84
-0.10 -0.61 0.66
-0.02 -0.76 0.71
-0.36 -0.58 0.46
-0.10 -0.79 0.73
-0.03 -0.91 0.68
-0.11 -0.82 0.38
-0.04 -0.76 0.61
-0.03 -0.87 0.55
-0.11 -0.73 0.74
-0.06 -0.85 0.56
-0.27 -0.65 0.72
-0.08 -0.74 0.73
-0.47 -0.64 1.13
-0.26 -0.80 0.42
-0.25 -0.65 0.73
-0.23 -0.67 0.74
-0.23 -0.70 0.69
0.00 -0.42 0.44
0.03 -0.86 0.69
0.06 -0.96 0.72
-0.07 -0.75 0.68
-0.32 -0.70 0.59
-0.12 -0.64 0.75
-0.16 -0.71 0.68
-0.07 -0.67 0.69
-0.12 -0.83 0.69
-0.18 -0.82 0.71
0.08 -0.47 0.63
-0.15 -0.71 0.71
-0.07 -0.77 0.81
-0.16 -0.66 0.73
-0.05 -0.66 0.81
-0.14 -0.70 0.79
-0.13 -0.60 0.82
-0.00 -0.73 0.72
-0.11 -0.81 0.75
-0.10 -0.70 0.72
-0.12 -0.69 0.76
-0.06 -0.66 0.76
-0.10 -0.69 0.79
-0.10 -0.68 0.74
-0.07 -0.66 0.76
-0.09 -0.68 0.79
-0.15 -0.65 0.76
-0.15 -0.44 0.76
-0.08 -1.03 0.70
0.01 -0.69 0.68
-0.09 -0.58 0.77
-0.07 -0.69 0.85
-0.09 -0.66 0.80
-0.12 -0.59 0.83
0.02 -0.65 0.84
-0.32 -0.64 0.58
-0.03 -0.61 0.83
0.02 -0.78 0.87
-0.01 -0.59 0.86
-0.11 -0.64 0.77
0.00 -0.62 0.84
-0.08 -0.65 0.83
-0.14 -0.66 0.68
-0.17 -0.75 0.81
-0.07 -0.75 0.66
-0.21 -0.49 0.61
0.03 -0.69 0.75
-0.10 -0.69 0.72
-0.07 -0.70 0.76
-0.07 -0.69 0.78
-0.06 -0.78 0.76
-0.15 -0.64 0.76
-0.06 -0.50 0.86
-0.04 -0.74 0.77
-0.03 -0.70 0.77
-0.12 -0.80 0.63
-0.02 -0.68 0.71
-0.21 -0.95 0.50
-0.10 -0.77 0.61
-0.11 -0.80 0.55
-0.12 -0.85 0.57
-0.14 -0.83 0.56
-0.10 -0.80 0.58
-0.09 -0.82 0.56
-0.04 -0.86 0.60
-0.07 -0.85 0.58
-0.05 -0.85 0.59
-0.03 -0.84 0.54
-0.10 -0.85 0.56
-0.10 -0.92 0.49
0.04 -0.80 0.46
-0.06 -0.81 0.56
-0.01 -0.84 0.59
-0.03 -0.85 0.59
-0.05 -0.96 0.52
-0.09 -0.58 0.59
-0.08 -0.93 0.63
-0.08 -0.89 0.52
-0.04 -0.84 0.46
0.04 -0.72 0.64
0.07 -0.76 0.71
0.06 -0.56 0.87
-0.04 -0.60 0.59
0.08 -0.76 0.67
0.05 -0.60 0.61
0.15 -0.94 1.02
0.15 -0.68 0.85
0.07 -0.55 0.72
0.13 -0.58 0.91
0.10 -0.55 0.83
0.22 -0.56 0.81
0.16 -0.57 0.81
0.16 -0.57 0.84
0.24 -0.53 0.86
0.22 -0.53 0.84
0.21 -0.55 0.83
0.21 -0.55 0.83
0.18 -0.64 1.02
-0.05 -0.95 0.90
-0.10 -0.65 0.97
-0.16 -0.50 0.78
-0.22 -0.55 0.72
0.01 -0.55 0.49
-0.49 -0.83 0.60
-0.20 -0.93 0.52
-0.37 -0.89 0.33
-0.35 -0.89 0.69
-0.18 -0.92 0.63
-0.25 -0.68 0.60
-0.18 -0.79 0.73
-0.13 -0.65 0.87
-0.03 -0.72 0.70
0.04 -0.71 0.84
-0.29 -0.73 0.42
0.13 -0.46 1.28
0.19 0.03 0.50
0.53 -0.56 0.98
0.33 -0.84 0.68
0.26 -0.61 0.70
-0.07 -0.68 0.91
0.19 -0.76 0.21
0.04 -1.12 -0.17
-0.24 -0.93 -0.45
-0.25 -1.05 -0.29
0.21 -1.32 0.59
-0.01 -0.50 0.06
-0.48 -0.17 -0.30
-0.23 -0.75 0.01
0.29 -0.91 0.51
0.55 -0.56 0.71
0.56 -0.82 0.75
0.43 -0.52 0.57
0.35 -0.63 0.69
0.39 -0.59 0.76
0.17 -0.52 0.66
-0.03 -0.50 0.75
-0.00 -0.64 0.81
0.03 -0.64 0.70
-0.06 -0.46 0.65
0.41 -1.00 0.82
0.01 -0.65 0.70
0.07 -0.67 0.71
0.09 -0.72 0.70
0.10 -0.71 0.72
0.10 -0.71 0.71
0.09 -0.72 0.71
0.09 -0.71 0.71
0.09 -0.72 0.71
0.10 -0.71 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.71 0.71
0.09 -0.71 0.71
0.10 -0.71 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.71 0.71
0.10 -0.72 0.71
0.09 -0.71 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.10 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.09 -0.72 0.71
0.10 -0.72 0.71
0.09 -0.72 0.71
